"Sequence number"	"Sequence ID"	"Functionality"	"V-GENE and allele"	"V-REGION Nb of positions including IMGT gaps (AA)"	"V-REGION Nb of AA"	"V-REGION Nb of identical AA"	"V-REGION Nb of AA changes"	"V-REGION +++"	"V-REGION ++-"	"V-REGION +-+"	"V-REGION +--"	"V-REGION -+-"	"V-REGION --+"	"V-REGION ---"	"V-REGION Very similar"	"V-REGION Similar"	"V-REGION Dissimilar"	"V-REGION Very dissimilar"	"FR1-IMGT Nb of positions including IMGT gaps (AA)"	"FR1-IMGT Nb of AA"	"FR1-IMGT Nb of identical AA"	"FR1-IMGT Nb of AA changes"	"FR1-IMGT +++"	"FR1-IMGT ++-"	"FR1-IMGT +-+"	"FR1-IMGT +--"	"FR1-IMGT -+-"	"FR1-IMGT --+"	"FR1-IMGT ---"	"FR1-IMGT Very similar"	"FR1-IMGT Similar"	"FR1-IMGT Dissimilar"	"FR1-IMGT Very dissimilar"	"CDR1-IMGT Nb of positions including IMGT gaps (AA)"	"CDR1-IMGT Nb of AA"	"CDR1-IMGT Nb of identical AA"	"CDR1-IMGT Nb of AA changes"	"CDR1-IMGT +++"	"CDR1-IMGT ++-"	"CDR1-IMGT +-+"	"CDR1-IMGT +--"	"CDR1-IMGT -+-"	"CDR1-IMGT --+"	"CDR1-IMGT ---"	"CDR1-IMGT Very similar"	"CDR1-IMGT Similar"	"CDR1-IMGT Dissimilar"	"CDR1-IMGT Very dissimilar"	"FR2-IMGT Nb of positions including IMGT gaps (AA)"	"FR2-IMGT Nb of AA"	"FR2-IMGT Nb of identical AA"	"FR2-IMGT Nb of AA changes"	"FR2-IMGT +++"	"FR2-IMGT ++-"	"FR2-IMGT +-+"	"FR2-IMGT +--"	"FR2-IMGT -+-"	"FR2-IMGT --+"	"FR2-IMGT ---"	"FR2-IMGT Very similar"	"FR2-IMGT Similar"	"FR2-IMGT Dissimilar"	"FR2-IMGT Very dissimilar"	"CDR2-IMGT Nb of positions including IMGT gaps (AA)"	"CDR2-IMGT Nb of AA"	"CDR2-IMGT Nb of identical AA"	"CDR2-IMGT Nb of AA changes"	"CDR2-IMGT +++"	"CDR2-IMGT ++-"	"CDR2-IMGT +-+"	"CDR2-IMGT +--"	"CDR2-IMGT -+-"	"CDR2-IMGT --+"	"CDR2-IMGT ---"	"CDR2-IMGT Very similar"	"CDR2-IMGT Similar"	"CDR2-IMGT Dissimilar"	"CDR2-IMGT Very dissimilar"	"FR3-IMGT Nb of positions including IMGT gaps (AA)"	"FR3-IMGT Nb of AA"	"FR3-IMGT Nb of identical AA"	"FR3-IMGT Nb of AA changes"	"FR3-IMGT +++"	"FR3-IMGT ++-"	"FR3-IMGT +-+"	"FR3-IMGT +--"	"FR3-IMGT -+-"	"FR3-IMGT --+"	"FR3-IMGT ---"	"FR3-IMGT Very similar"	"FR3-IMGT Similar"	"FR3-IMGT Dissimilar"	"FR3-IMGT Very dissimilar"	"CDR3-IMGT Nb of positions including IMGT gaps (AA)"	"CDR3-IMGT Nb of AA"	"CDR3-IMGT Nb of identical AA"	"CDR3-IMGT Nb of AA changes"	"CDR3-IMGT +++"	"CDR3-IMGT ++-"	"CDR3-IMGT +-+"	"CDR3-IMGT +--"	"CDR3-IMGT -+-"	"CDR3-IMGT --+"	"CDR3-IMGT ---"	"CDR3-IMGT Very similar"	"CDR3-IMGT Similar"	"CDR3-IMGT Dissimilar"	"CDR3-IMGT Very dissimilar"	""
1	">350_@M02381:18:000000000-A6UW9:1:1101:21435:2969"	"productive"	"Homsap TRBV11-1*01 F"	"107 (82)"	"65 (66)"	"65"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0 (1)+0+0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	17	17	17	0	0	0	0	0	0	0	0	0	0	0	0	10	6	6	0	0	0	0	0	0	0	0	0	0	0	0	"39"	"38"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"29 (4)"	"3 (4)"	"3"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0 (1)+0+0"	"0"	NA
2	">351_@M02381:18:000000000-A6UW9:1:1101:14095:2969"	"productive"	"Homsap TRBV12-3*01 F"	"106 (82)"	"64 (66)"	"61 (62)"	"3 (4)"	"0"	"0"	"1"	"2 (3)"	"0"	"0"	"0"	"0"	"1"	"2 (3)+0+0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"12"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	0	1	0	17	17	15	2	0	0	1	1	0	0	0	0	1	1	0	10	6	6	0	0	0	0	0	0	0	0	0	0	0	0	"39"	"38"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"28 (4)"	"2 (4)"	"2 (3)"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0 (1)+0+0"	"0"	NA
3	">352_@M02381:18:000000000-A6UW9:1:1101:21531:2974"	"productive"	"Homsap TRBV27*01 F"	"108"	"65"	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	17	17	17	0	0	0	0	0	0	0	0	0	0	0	0	10	6	6	0	0	0	0	0	0	0	0	0	0	0	0	"39"	"37"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"4"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
4	">353_@M02381:18:000000000-A6UW9:1:1101:19541:2975"	"productive"	"Homsap TRBV5-1*01 F"	"108"	"65"	"65"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	17	17	17	0	0	0	0	0	0	0	0	0	0	0	0	10	6	6	0	0	0	0	0	0	0	0	0	0	0	0	"39"	"37"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"4"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
5	">354_@M02381:18:000000000-A6UW9:1:1101:11117:2975"	"productive"	"Homsap TRBV27*01 F"	"106 (82)"	"63 (65)"	"63"	"0 (2)"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	"0+0 (1)+0"	"0 (1)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	17	17	17	0	0	0	0	0	0	0	0	0	0	0	0	10	6	6	0	0	0	0	0	0	0	0	0	0	0	0	"39"	"37"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"28 (4)"	"2 (4)"	"2"	"0 (2)"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0 (1)"	"0"	"0"	"0+0 (1)+0"	"0 (1)"	NA
6	">355_@M02381:18:000000000-A6UW9:1:1101:15760:2977"	"productive"	"Homsap TRBV18*01 F"	"107 (82)"	"65 (66)"	"65 (66)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	17	17	17	0	0	0	0	0	0	0	0	0	0	0	0	10	6	6	0	0	0	0	0	0	0	0	0	0	0	0	"39"	"38"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"29 (4)"	"3 (4)"	"3 (4)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
7	">358_@M02381:18:000000000-A6UW9:1:1101:10688:2979"	"productive"	"Homsap TRBV6-1*01 F"	"107 (82)"	"64 (65)"	"63"	"1 (2)"	"0"	"0"	"0"	"1"	"0 (1)"	"0"	"0"	"0"	"0"	"1+0 (1)+0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"12"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	0	1	0	17	17	17	0	0	0	0	0	0	0	0	0	0	0	0	10	6	6	0	0	0	0	0	0	0	0	0	0	0	0	"39"	"37"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"29 (4)"	"3 (4)"	"3"	"0 (1)"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0"	"0+0 (1)+0"	"0"	NA
8	">359_@M02381:18:000000000-A6UW9:1:1101:9382:2981"	"productive"	"Homsap TRBV5-5*01 F, or Homsap TRBV5-5*02 (F) or Homsap TRBV5-5*03 (F)"	"106 (82)"	"63 (65)"	"63"	"0 (2)"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"0"	"0+0 (1)"	"0"	"0 (1)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	17	17	17	0	0	0	0	0	0	0	0	0	0	0	0	10	6	6	0	0	0	0	0	0	0	0	0	0	0	0	"39"	"37"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"28 (4)"	"2 (4)"	"2"	"0 (2)"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"0"	"0+0 (1)"	"0"	"0 (1)"	NA
9	">360_@M02381:18:000000000-A6UW9:1:1101:14574:2983"	"productive"	"Homsap TRBV6-4*01 F, or Homsap TRBV6-4*02 F"	"107 (82)"	"64 (65)"	"64 (65)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	17	17	17	0	0	0	0	0	0	0	0	0	0	0	0	10	6	6	0	0	0	0	0	0	0	0	0	0	0	0	"39"	"37"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"29 (4)"	"3 (4)"	"3 (4)"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
10	">361_@M02381:18:000000000-A6UW9:1:1101:16241:2984"	"productive"	"Homsap TRBV7-8*01 F"	"108"	"66"	"66"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"12"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	17	17	17	0	0	0	0	0	0	0	0	0	0	0	0	10	6	6	0	0	0	0	0	0	0	0	0	0	0	0	"39"	"38"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"4"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	NA
