"Sequence number"	"Sequence ID"	"Functionality"	"V-GENE and allele"	"V-REGION Nb of positions including IMGT gaps (AA)"	"V-REGION Nb of AA"	"V-REGION Nb of identical AA"	"V-REGION Nb of AA changes"	"V-REGION +++"	"V-REGION ++-"	"V-REGION +-+"	"V-REGION +--"	"V-REGION -+-"	"V-REGION --+"	"V-REGION ---"	"V-REGION Very similar"	"V-REGION Similar"	"V-REGION Dissimilar"	"V-REGION Very dissimilar"	"FR1-IMGT Nb of positions including IMGT gaps (AA)"	"FR1-IMGT Nb of AA"	"FR1-IMGT Nb of identical AA"	"FR1-IMGT Nb of AA changes"	"FR1-IMGT +++"	"FR1-IMGT ++-"	"FR1-IMGT +-+"	"FR1-IMGT +--"	"FR1-IMGT -+-"	"FR1-IMGT --+"	"FR1-IMGT ---"	"FR1-IMGT Very similar"	"FR1-IMGT Similar"	"FR1-IMGT Dissimilar"	"FR1-IMGT Very dissimilar"	"CDR1-IMGT Nb of positions including IMGT gaps (AA)"	"CDR1-IMGT Nb of AA"	"CDR1-IMGT Nb of identical AA"	"CDR1-IMGT Nb of AA changes"	"CDR1-IMGT +++"	"CDR1-IMGT ++-"	"CDR1-IMGT +-+"	"CDR1-IMGT +--"	"CDR1-IMGT -+-"	"CDR1-IMGT --+"	"CDR1-IMGT ---"	"CDR1-IMGT Very similar"	"CDR1-IMGT Similar"	"CDR1-IMGT Dissimilar"	"CDR1-IMGT Very dissimilar"	"FR2-IMGT Nb of positions including IMGT gaps (AA)"	"FR2-IMGT Nb of AA"	"FR2-IMGT Nb of identical AA"	"FR2-IMGT Nb of AA changes"	"FR2-IMGT +++"	"FR2-IMGT ++-"	"FR2-IMGT +-+"	"FR2-IMGT +--"	"FR2-IMGT -+-"	"FR2-IMGT --+"	"FR2-IMGT ---"	"FR2-IMGT Very similar"	"FR2-IMGT Similar"	"FR2-IMGT Dissimilar"	"FR2-IMGT Very dissimilar"	"CDR2-IMGT Nb of positions including IMGT gaps (AA)"	"CDR2-IMGT Nb of AA"	"CDR2-IMGT Nb of identical AA"	"CDR2-IMGT Nb of AA changes"	"CDR2-IMGT +++"	"CDR2-IMGT ++-"	"CDR2-IMGT +-+"	"CDR2-IMGT +--"	"CDR2-IMGT -+-"	"CDR2-IMGT --+"	"CDR2-IMGT ---"	"CDR2-IMGT Very similar"	"CDR2-IMGT Similar"	"CDR2-IMGT Dissimilar"	"CDR2-IMGT Very dissimilar"	"FR3-IMGT Nb of positions including IMGT gaps (AA)"	"FR3-IMGT Nb of AA"	"FR3-IMGT Nb of identical AA"	"FR3-IMGT Nb of AA changes"	"FR3-IMGT +++"	"FR3-IMGT ++-"	"FR3-IMGT +-+"	"FR3-IMGT +--"	"FR3-IMGT -+-"	"FR3-IMGT --+"	"FR3-IMGT ---"	"FR3-IMGT Very similar"	"FR3-IMGT Similar"	"FR3-IMGT Dissimilar"	"FR3-IMGT Very dissimilar"	"CDR3-IMGT Nb of positions including IMGT gaps (AA)"	"CDR3-IMGT Nb of AA"	"CDR3-IMGT Nb of identical AA"	"CDR3-IMGT Nb of AA changes"	"CDR3-IMGT +++"	"CDR3-IMGT ++-"	"CDR3-IMGT +-+"	"CDR3-IMGT +--"	"CDR3-IMGT -+-"	"CDR3-IMGT --+"	"CDR3-IMGT ---"	"CDR3-IMGT Very similar"	"CDR3-IMGT Similar"	"CDR3-IMGT Dissimilar"	"CDR3-IMGT Very dissimilar"	""
1	">151_@M02381:30:000000000-AUCBB:1:1101:13586:2884"	"No results"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
2	">152_@M02381:30:000000000-AUCBB:1:1101:21244:2889"	"No results"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
3	">158_@M02381:30:000000000-AUCBB:1:1101:20112:2927"	"No results"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
4	">161_@M02381:30:000000000-AUCBB:1:1101:13762:2947"	"No results"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
5	">162_@M02381:30:000000000-AUCBB:1:1101:13897:2949"	"unknown"	"Homsap TRBV29-1*03 (F)"	"104"	"63"	"33"	"30"	"0"	"2"	"3"	"5"	"2"	0	"18"	"0"	"5"	"7"	"18"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"12"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	1	0	0	"17"	"17"	"2"	"15"	"0"	"1"	"1"	"3"	"0"	"0"	"10"	"0"	2	3	10	"10"	"7"	"2"	"5"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"0"	1	1	3	"39"	"38"	"29"	"9"	"0"	"0"	"1"	"1"	"2"	"0"	"5"	"0"	1	3	5	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	""	""	""	NA
6	">171_@M02381:30:000000000-AUCBB:1:1101:12360:2991"	"unknown"	"Homsap TRBV27*01 F"	"104"	"61"	"14"	"47"	"0"	"5"	"2"	"13"	"3"	0	"24"	"0"	"7"	"16"	"24"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"12"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	0	0	1	"17"	"17"	"0"	"17"	"0"	"1"	"1"	"4"	"0"	"0"	"11"	"0"	2	4	11	"10"	"6"	"0"	"6"	"0"	"0"	"0"	"2"	"1"	"0"	"3"	"0"	0	3	3	"39"	"37"	"14"	"23"	"0"	"4"	"1"	"7"	"2"	"0"	"9"	"0"	5	9	9	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	""	""	""	NA
7	">172_@M02381:30:000000000-AUCBB:1:1101:11345:2995"	"No results"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
8	">173_@M02381:30:000000000-AUCBB:1:1101:16336:2998"	"No results"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
9	">174_@M02381:30:000000000-AUCBB:1:1101:15470:3003"	"productive"	"Homsap TRBV7-2*01 F, or Homsap TRBV7-2*04 (F)"	"107 (70)"	"60 (61)"	"60"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	0	"0 (1)"	"0"	"0"	"0"	"0 (1)"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	"-"	NA	NA	NA	"17"	"13"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"10"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"39"	"38"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"41 (4)"	"3 (4)"	"3"	"0 (1)"	"0"	"0"	"0"	"0"	"0"	"0"	"0 (1)"	"0"	"0"	"0"	"0 (1)"	NA
10	">181_@M02381:30:000000000-AUCBB:1:1101:19914:3081"	"No results"	""	""	""	""	""	""	""	""	""	""	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	NA	NA	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	NA
